City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Kapaa,US,2020-04-20 06:47:07,22.08,-159.32,75.2,69,75,2.28,broken clouds,0.0,0.0
1,Longyearbyen,SJ,2020-04-20 06:42:31,78.22,15.64,21.2,79,75,20.8,shower rain,0.0,0.0
2,Cape Town,ZA,2020-04-20 06:46:00,-33.93,18.42,63.0,77,75,16.11,broken clouds,0.0,0.0
3,Puerto Ayora,EC,2020-04-20 06:47:08,-0.74,-90.35,79.0,87,65,5.99,broken clouds,0.0,0.0
4,Show Low,US,2020-04-20 06:47:08,34.25,-110.03,43.0,52,1,9.17,clear sky,0.0,0.0
5,Saskylakh,RU,2020-04-20 06:47:08,71.92,114.08,25.97,95,16,3.09,few clouds,0.0,0.0
6,Rikitea,PF,2020-04-20 06:47:08,-23.12,-134.97,76.8,71,61,6.62,broken clouds,0.0,0.0
7,Busselton,AU,2020-04-20 06:47:08,-33.65,115.33,66.99,73,97,8.99,light rain,0.011811023622047244,0.0
8,San Cristobal,VE,2020-04-20 06:47:09,7.77,-72.22,66.31,63,84,1.34,light rain,0.024015748031496063,0.0
9,Sao Filipe,CV,2020-04-20 06:47:09,14.9,-24.5,70.47,75,0,15.88,clear sky,0.0,0.0
10,Esperance,AU,2020-04-20 06:47:09,-33.87,121.9,69.8,43,14,17.22,few clouds,0.0,0.0
11,Upernavik,GL,2020-04-20 06:47:09,72.79,-56.15,17.92,95,46,18.54,light snow,0.0,0.015748031496062995
12,Nurlat,RU,2020-04-20 06:47:09,54.43,50.81,47.23,51,62,1.74,broken clouds,0.0,0.0
13,Oranjemund,NA,2020-04-20 06:47:10,-28.55,16.43,59.95,86,17,2.48,few clouds,0.0,0.0
14,Honningsvag,NO,2020-04-20 06:47:10,70.98,25.97,39.2,69,75,23.04,shower rain,0.0,0.0
15,Iqaluit,CA,2020-04-20 06:47:10,63.75,-68.51,-11.0,76,5,2.68,clear sky,0.0,0.0
16,Bambous Virieux,MU,2020-04-20 06:47:11,-20.34,57.76,77.0,83,75,14.99,light intensity shower rain,0.0,0.0
17,Imbituba,BR,2020-04-20 06:47:11,-28.24,-48.67,62.6,100,1,5.82,clear sky,0.0,0.0
18,Hobart,AU,2020-04-20 06:46:35,-42.88,147.33,57.2,44,40,23.04,scattered clouds,0.0,0.0
19,Punta Arenas,CL,2020-04-20 06:47:11,-53.15,-70.92,42.8,75,40,28.86,scattered clouds,0.0,0.0
20,La Rioja,ES,2020-04-20 06:47:11,42.25,-2.5,53.6,87,90,4.7,overcast clouds,0.0,0.0
21,Ust-Ishim,RU,2020-04-20 06:47:12,57.69,71.17,53.73,46,25,4.61,scattered clouds,0.0,0.0
22,Parbhani,IN,2020-04-20 06:47:12,19.27,76.78,102.69,13,17,3.33,few clouds,0.0,0.0
23,Pontiac,US,2020-04-20 06:45:11,42.64,-83.29,32.0,63,1,3.36,clear sky,0.0,0.0
24,Port Alfred,ZA,2020-04-20 06:47:12,-33.59,26.89,72.0,64,0,1.01,clear sky,0.0,0.0
25,Baykit,RU,2020-04-20 06:47:12,61.67,96.37,40.03,65,36,6.38,scattered clouds,0.0,0.0
26,Qaanaaq,GL,2020-04-20 06:47:13,77.48,-69.36,14.59,82,62,10.51,broken clouds,0.0,0.0
27,Kodiak,US,2020-04-20 06:47:13,57.79,-152.41,42.8,87,90,11.41,overcast clouds,0.0,0.0
28,Odweyne,SO,2020-04-20 06:47:13,9.41,45.06,78.39,44,90,14.07,overcast clouds,0.0,0.0
29,Tres Arroyos,AR,2020-04-20 06:47:13,-38.37,-60.28,56.97,64,94,6.73,overcast clouds,0.0,0.0
30,Pangai,TO,2020-04-20 06:47:13,-19.8,-174.35,80.6,83,20,14.99,few clouds,0.0,0.0
31,Vila Franca Do Campo,PT,2020-04-20 06:47:13,37.72,-25.43,50.0,76,20,8.05,few clouds,0.0,0.0
32,Tasiilaq,GL,2020-04-20 06:47:14,65.61,-37.64,32.0,85,100,9.19,overcast clouds,0.0,0.0
33,Tilichiki,RU,2020-04-20 06:47:14,60.47,166.1,17.01,91,100,11.34,overcast clouds,0.0,0.0
34,Kudahuvadhoo,MV,2020-04-20 06:47:14,2.67,72.89,85.6,73,89,9.98,overcast clouds,0.0,0.0
35,Kamenka,RU,2020-04-20 06:47:14,51.32,42.77,46.0,68,54,1.99,broken clouds,0.0,0.0
36,Yellowknife,CA,2020-04-20 06:47:15,62.46,-114.35,10.4,66,75,8.05,broken clouds,0.0,0.0
37,Hithadhoo,MV,2020-04-20 06:47:15,-0.6,73.08,85.08,74,88,11.41,overcast clouds,0.0,0.0
38,Macas,EC,2020-04-20 06:47:15,-2.32,-78.12,63.73,55,22,1.79,few clouds,0.0,0.0
