,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2,Cape Town,ZA,63.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
3,Puerto Ayora,EC,79.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
6,Rikitea,PF,76.8,broken clouds,-23.12,-134.97,Pension Maro'i
7,Busselton,AU,66.99,light rain,-33.65,115.33,Observatory Guest House
8,San Cristobal,VE,66.31,light rain,7.77,-72.22,Pirineos
9,Sao Filipe,CV,70.47,clear sky,14.9,-24.5,Tortuga B&B
10,Esperance,AU,69.8,few clouds,-33.87,121.9,Hospitality Esperance
16,Bambous Virieux,MU,77.0,light intensity shower rain,-20.34,57.76,Casa Tia Villa
17,Imbituba,BR,62.6,clear sky,-28.24,-48.67,Praia Hotel Imbituba
24,Port Alfred,ZA,72.0,clear sky,-33.59,26.89,The Halyards Hotel
28,Odweyne,SO,78.39,overcast clouds,9.41,45.06,Eng Hiirey House
38,Macas,EC,63.73,few clouds,-2.32,-78.12,Casa Upano - Guesthouse & Sanctuary
39,Xuddur,SO,79.79,light rain,4.12,43.89,Banjanay Hotel
41,Makokou,GA,69.93,broken clouds,0.57,12.86,WAMY RESIDENCE HOTEL
43,Sinnamary,GF,77.7,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
48,Abreus,CU,77.0,scattered clouds,22.28,-80.57,
50,Bardiyah,LY,61.83,broken clouds,31.76,25.09,بورتو بردية
53,Moree,AU,75.2,broken clouds,-29.47,149.85,Molika Springs Motel
56,Contamana,PE,69.03,clear sky,-7.33,-75.02,Shiringal Touristic Park
60,East London,ZA,73.4,clear sky,-33.02,27.91,Tu Casa
64,Saint-Philippe,RE,77.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
68,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
69,Kathmandu,NP,78.8,few clouds,27.72,85.32,Hotel Shanker Kathmandu
71,Makakilo City,US,77.0,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
76,Conceicao Do Araguaia,BR,77.0,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
79,Artesia,US,61.0,overcast clouds,33.87,-118.08,La Quinta Inn & Suites by Wyndham Buena Park
80,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
81,Hermanus,ZA,62.01,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
86,Arraial Do Cabo,BR,70.61,scattered clouds,-22.97,-42.03,Pousada Porto Praia
89,Seguela,CI,73.53,broken clouds,7.96,-6.67,DIRECTION DEPARTEMENTALE DE LA SANTE
90,Airai,TL,72.64,scattered clouds,-8.93,125.41,Juvinal Martin
91,Asaba,NG,76.06,overcast clouds,6.2,6.73,Crimson Suite Hotels
93,San Patricio,MX,73.06,clear sky,19.22,-104.7,Hotel Cabo Blanco
95,Saint-Pierre,RE,77.0,broken clouds,-21.34,55.48,Lindsey Hôtel
96,Saint George,US,61.0,broken clouds,37.1,-113.58,Best Western Plus Abbey Inn
98,Jinhua,CN,76.91,scattered clouds,29.11,119.65,Yayi Hotel
99,Point Fortin,TT,75.2,few clouds,10.18,-61.68,Apartment Point Fortin
105,Rongcheng,CN,69.01,broken clouds,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
108,Puerto Escondido,MX,78.08,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
110,Carbonia,IT,66.2,broken clouds,39.17,8.52,Lu 'Hotel
114,Caravelas,BR,74.23,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
