City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carnarvon,-24.87,113.63,71.6,83,49,11.41,AU,2020-04-20 00:05:07
1,Qaanaaq,77.48,-69.36,15.82,84,75,16.4,GL,2020-04-20 00:05:40
2,Esperance,-33.87,121.9,51.8,87,0,8.05,AU,2020-04-20 00:05:40
3,Ushuaia,-54.8,-68.3,41.0,86,90,27.51,AR,2020-04-20 00:00:45
4,Hobart,-42.88,147.33,57.0,76,75,6.93,AU,2020-04-20 00:05:31
5,Vaini,-21.2,-175.2,84.2,74,40,8.05,TO,2020-04-20 00:05:41
6,Port Elizabeth,-33.92,25.57,71.6,46,29,12.75,ZA,2020-04-20 00:05:41
7,Nikolskoye,59.7,30.79,37.4,94,67,4.47,RU,2020-04-20 00:05:26
8,Jamestown,42.1,-79.24,44.6,81,90,12.75,US,2020-04-20 00:04:18
9,Lavrentiya,65.58,-171.0,21.18,91,100,8.16,RU,2020-04-20 00:05:42
10,Lebu,-37.62,-73.65,55.83,74,100,9.84,CL,2020-04-20 00:05:42
11,East London,-33.02,27.91,76.21,54,0,13.35,ZA,2020-04-20 00:05:42
12,Ancud,-41.87,-73.82,50.0,81,40,5.82,CL,2020-04-20 00:04:26
13,Albany,42.6,-73.97,57.99,51,90,1.01,US,2020-04-20 00:05:43
14,Vangaindrano,-23.35,47.6,69.8,91,25,4.14,MG,2020-04-20 00:05:43
15,Northam,51.03,-4.22,52.0,73,95,5.99,GB,2020-04-20 00:05:43
16,Nouakchott,18.09,-15.98,69.8,77,0,16.11,MR,2020-04-20 00:01:08
17,Cherskiy,68.75,161.3,9.03,93,100,7.92,RU,2020-04-20 00:05:44
18,Vao,-22.67,167.48,78.03,81,100,15.39,NC,2020-04-20 00:03:44
19,Harper,4.38,-7.72,81.34,83,100,7.96,LR,2020-04-20 00:05:45
20,Amasya,40.67,35.83,46.4,61,81,2.82,TR,2020-04-20 00:05:45
21,Faya,18.39,42.45,64.4,72,89,3.51,SA,2020-04-20 00:05:45
22,Broome,42.25,-75.83,48.99,66,90,17.22,US,2020-04-20 00:05:46
23,Bilibino,68.05,166.44,8.42,79,81,3.74,RU,2020-04-20 00:05:46
24,Tasiilaq,65.61,-37.64,32.0,92,100,4.7,GL,2020-04-20 00:05:46
25,Busselton,-33.65,115.33,61.0,60,78,20.2,AU,2020-04-20 00:05:46
26,Rikitea,-23.12,-134.97,77.07,67,100,5.99,PF,2020-04-20 00:05:47
27,The Valley,18.22,-63.06,80.6,74,20,8.05,AI,2020-04-20 00:05:47
28,New Norfolk,-42.78,147.06,57.0,91,100,7.74,AU,2020-04-20 00:05:47
29,Oranjestad,12.52,-70.03,84.2,70,20,20.8,AW,2020-04-20 00:04:57
30,Yellowknife,62.46,-114.35,26.6,53,40,20.8,CA,2020-04-20 00:05:28
31,Puerto Ayora,-0.74,-90.35,80.01,85,86,8.99,EC,2020-04-20 00:05:48
32,Bluff,-46.6,168.33,55.99,66,78,5.99,NZ,2020-04-20 00:01:04
33,Alamosa,37.47,-105.87,51.8,24,90,17.22,US,2020-04-20 00:05:48
34,Salekhard,66.53,66.6,32.9,95,100,4.36,RU,2020-04-20 00:05:48
35,Bethel,41.37,-73.41,57.2,35,1,10.29,US,2020-04-20 00:00:56
36,Hilo,19.73,-155.09,82.4,51,1,12.75,US,2020-04-20 00:05:35
37,Moose Factory,51.26,-80.61,17.6,48,75,4.7,CA,2020-04-20 00:05:49
38,Biak,-0.91,122.88,82.11,69,3,2.86,ID,2020-04-20 00:05:49
39,Arraial Do Cabo,-22.97,-42.03,73.67,70,96,4.79,BR,2020-04-20 00:05:49
40,Paamiut,61.99,-49.67,25.41,90,4,13.49,GL,2020-04-20 00:05:50
41,Ribeira Grande,38.52,-28.7,56.68,63,7,12.53,PT,2020-04-20 00:05:50
42,Sao Felix Do Xingu,-6.64,-51.99,73.87,88,99,0.87,BR,2020-04-20 00:05:50
43,Cape Town,-33.93,18.42,63.0,77,75,18.34,ZA,2020-04-20 00:02:02
44,Bara,10.37,10.73,85.71,43,52,5.86,NG,2020-04-20 00:05:51
45,Padang,-0.95,100.35,78.73,76,17,4.21,ID,2020-04-20 00:05:51
46,Atuona,-9.8,-139.03,82.89,73,38,12.97,PF,2020-04-20 00:05:51
47,Barrow,71.29,-156.79,12.2,85,90,6.93,US,2020-04-20 00:05:51
48,Calafell,41.2,1.57,59.0,96,100,9.75,ES,2020-04-20 00:05:51
49,Aykhal,66.0,111.5,23.0,38,2,4.47,RU,2020-04-20 00:05:52
50,Pierre,44.37,-100.35,48.99,65,90,10.29,US,2020-04-20 00:00:54
51,Tuktoyaktuk,69.45,-133.04,10.4,85,90,9.17,CA,2020-04-20 00:05:52
52,Dickinson,29.46,-95.05,82.0,78,75,8.05,US,2020-04-20 00:05:53
53,Loreto,22.27,-101.97,83.01,11,3,18.01,MX,2020-04-20 00:05:53
54,Chuy,-33.7,-53.46,64.58,89,23,7.49,UY,2020-04-20 00:05:53
55,Punta Arenas,-53.15,-70.92,42.8,78,20,23.04,CL,2020-04-20 00:05:53
56,Vaitape,-16.52,-151.75,83.7,75,59,15.3,PF,2020-04-20 00:05:53
57,Bredasdorp,-34.53,20.04,54.0,93,6,2.24,ZA,2020-04-20 00:05:54
58,Poum,-20.23,164.02,81.18,75,99,7.11,NC,2020-04-20 00:05:54
59,Chirongui,-12.93,45.15,82.4,74,75,9.17,YT,2020-04-20 00:05:54
60,Bengkulu,-3.8,102.27,78.13,83,84,4.12,ID,2020-04-20 00:05:54
61,Tshikapa,-6.42,20.8,70.61,73,80,1.3,CD,2020-04-20 00:05:54
62,Hermanus,-34.42,19.23,61.0,93,38,1.01,ZA,2020-04-20 00:05:55
63,Cururupu,-1.83,-44.87,77.86,88,59,5.46,BR,2020-04-20 00:05:55
64,Iqaluit,63.75,-68.51,1.4,70,20,8.05,CA,2020-04-20 00:05:55
65,Genhe,50.78,121.52,19.11,74,100,14.61,CN,2020-04-20 00:05:55
66,Mataura,-46.19,168.86,55.99,66,72,5.99,NZ,2020-04-20 00:05:56
67,Plymouth,41.83,-70.83,50.0,57,1,18.34,US,2020-04-20 00:05:56
68,Ouro Preto Do Oeste,-10.75,-62.22,73.49,90,92,0.98,BR,2020-04-20 00:05:56
69,Grindavik,63.84,-22.43,46.4,100,90,29.97,IS,2020-04-20 00:05:57
70,Quatre Cocos,-20.21,57.76,75.2,88,40,11.41,MU,2020-04-20 00:05:57
71,Marrakesh,31.63,-8.01,60.8,67,40,5.82,MA,2020-04-20 00:01:29
72,Anadyr,64.75,177.48,19.4,79,40,8.95,RU,2020-04-20 00:05:57
73,Ulladulla,-35.35,150.47,59.0,67,100,5.82,AU,2020-04-20 00:05:58
74,Butaritari,3.07,172.79,83.39,73,23,8.81,KI,2020-04-20 00:05:58
75,Limbang,4.75,115.0,80.6,83,75,3.36,MY,2020-04-20 00:05:58
76,Marawi,8.0,124.29,77.86,62,61,0.72,PH,2020-04-20 00:05:58
77,Dikson,73.51,80.55,34.48,89,90,22.77,RU,2020-04-20 00:05:58
78,Saint-Augustin,51.23,-58.65,28.63,98,100,15.05,CA,2020-04-20 00:05:59
79,Tessalit,20.2,1.01,80.24,29,0,8.23,ML,2020-04-20 00:05:24
80,Zakamensk,50.37,103.29,25.12,59,20,7.29,RU,2020-04-20 00:05:59
81,Carora,10.18,-70.08,79.07,62,99,3.56,VE,2020-04-20 00:05:59
82,Termiz,37.22,67.28,64.4,81,90,4.7,UZ,2020-04-20 00:05:59
83,Teahupoo,-17.83,-149.27,91.4,59,98,5.82,PF,2020-04-20 00:06:00
84,Hovd,48.01,91.64,37.11,36,0,0.54,MN,2020-04-20 00:06:00
85,Port Alfred,-33.59,26.89,68.0,85,14,7.36,ZA,2020-04-20 00:06:00
86,West Bay,19.37,-81.42,86.0,74,20,6.93,KY,2020-04-20 00:06:00
87,Asfi,32.3,-9.24,60.93,76,1,7.31,MA,2020-04-20 00:05:16
88,Luderitz,-26.65,15.16,60.8,87,0,8.05,NA,2020-04-20 00:03:41
89,Norman Wells,65.28,-126.83,28.4,68,90,6.93,CA,2020-04-20 00:06:01
90,Ketchikan,55.34,-131.65,51.8,81,75,12.75,US,2020-04-20 00:04:43
91,Kimbe,-5.55,150.14,89.46,60,36,1.95,PG,2020-04-20 00:06:01
92,Kapaa,22.08,-159.32,80.6,61,1,10.29,US,2020-04-20 00:06:01
93,Vestmanna,62.16,-7.17,41.0,93,6,11.41,FO,2020-04-20 00:06:02
94,Thenzawl,23.32,92.75,64.24,68,78,2.13,IN,2020-04-20 00:06:02
95,Saint George,37.1,-113.58,71.6,28,1,13.87,US,2020-04-20 00:02:12
96,Havre-Saint-Pierre,50.23,-63.6,30.2,68,1,6.93,CA,2020-04-20 00:06:02
97,Pointe Michel,15.25,-61.38,79.18,75,18,15.52,DM,2020-04-20 00:06:03
98,Pevek,69.7,170.31,9.91,94,100,6.98,RU,2020-04-20 00:06:03
99,Lewistown,40.6,-77.57,57.99,43,100,5.17,US,2020-04-20 00:06:03
100,Tateyama,34.98,139.87,51.8,93,75,6.93,JP,2020-04-20 00:06:03
101,Avarua,-21.21,-159.78,84.2,66,2,8.05,CK,2020-04-20 00:06:04
102,Sur,22.57,59.53,83.8,46,1,8.32,OM,2020-04-20 00:04:36
103,Sioux Lookout,50.1,-91.92,35.6,43,90,16.11,CA,2020-04-20 00:02:37
104,San Patricio,19.22,-104.7,75.2,78,5,17.22,MX,2020-04-20 00:06:04
105,Benghazi,32.12,20.07,67.33,39,58,9.04,LY,2020-04-20 00:06:04
106,Alofi,-19.06,-169.92,86.0,70,33,13.87,NU,2020-04-20 00:06:04
107,Santa Vitoria Do Palmar,-33.52,-53.37,64.67,88,24,7.67,BR,2020-04-20 00:06:05
108,Boa Vista,2.82,-60.67,87.8,55,75,8.05,BR,2020-04-20 00:01:15
109,Adrar,20.5,-10.07,75.76,18,0,6.55,MR,2020-04-20 00:06:05
110,Guiratinga,-16.35,-53.76,71.65,81,49,2.28,BR,2020-04-20 00:06:05
111,Slave Lake,55.28,-114.77,50.0,46,75,23.04,CA,2020-04-20 00:06:05
112,Karratha,-20.74,116.85,83.82,61,97,7.52,AU,2020-04-20 00:04:52
